trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
132,False,"{'a': 0.02, 'e': 0.07136126955638605}",25,7,30.84783826327855,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.02, 'e': 0.06994822174465536}",20,4,26.698836154432204,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.02, 'e': 0.06856315415427791}",25,17,13.211298187424635,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 0.02, 'e': 0.06720551273974976}",20,10,16.450223550015977,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.02, 'e': 0.06587475442640295}",20,10,16.781813770451883,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.02, 'e': 0.06457034689316847}",30,17,20.966328939273932,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.02, 'e': 0.0632917683596407}",25,16,5.700608017604146,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
139,False,"{'a': 0.02, 'e': 0.06203850737735829}",30,17,22.73462597891772,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.02, 'e': 0.06081006262521795}",25,8,25.49754868331906,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.02, 'e': 0.05960594270893937}",20,0,1.8899597477288608,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
142,False,"{'a': 0.02, 'e': 0.05842566596450083}",20,4,24.376505207875525,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.02, 'e': 0.05726876026546736}",20,0,27.236205053320855,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.02, 'e': 0.056134762834133725}",35,21,19.899407166036198,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.02, 'e': 0.05502322005640723}",25,14,19.369252080799797,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.02, 'e': 0.05393368730035602}",20,16,7.100559298851032,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.02, 'e': 0.05286572873835037}",30,22,12.362254323286665,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.02, 'e': 0.05181891717272583}",20,7,21.075756152407735,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.02, 'e': 0.0507928338648985}",35,20,-34.937446343234384,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 1}",1
150,False,"{'a': 0.02, 'e': 0.049787068367863944}",20,12,14.003578589025745,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.02, 'e': 0.04880121836201296}",30,3,37.425142341522694,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.02, 'e': 0.04783488949419837}",25,7,27.382079189314194,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.02, 'e': 0.046887695219988486}",25,16,17.453497534389797,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.02, 'e': 0.045959256649044204}",35,21,27.776833891478475,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.02, 'e': 0.0450492023935578}",25,2,26.742650899369753,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
156,False,"{'a': 0.02, 'e': 0.04415716841969286}",20,4,27.296907156540684,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.02, 'e': 0.043282797901965896}",25,13,20.930389369794874,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.02, 'e': 0.042425741080511385}",20,0,25.558395271392634,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
159,False,"{'a': 0.02, 'e': 0.04158565512117316}",20,12,15.619645893863767,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.02, 'e': 0.04076220397836621}",30,16,24.144240756835902,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.02, 'e': 0.039955058260653896}",35,23,21.58342379288567,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.02, 'e': 0.039163895098987066}",30,19,12.75084201785072,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.02, 'e': 0.038388398017552054}",25,3,27.014550595446245,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
164,False,"{'a': 0.02, 'e': 0.0376282568071762}",20,3,28.024080530014768,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.02, 'e': 0.036883167401239994}",25,10,24.814540437139744,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.02, 'e': 0.03615283175404641}",25,0,32.73321097705842,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
167,False,"{'a': 0.02, 'e': 0.03543695772159864}",20,10,19.806927939016095,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.02, 'e': 0.03473525894473856}",25,17,13.45385033432581,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.02, 'e': 0.034047454734599344}",20,13,16.38560733911696,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.02, 'e': 0.03337326996032608}",25,15,-24.701173480720534,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
171,False,"{'a': 0.02, 'e': 0.03271243493901982}",20,15,7.295616390013908,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.02, 'e': 0.03206468532786077}",20,0,30.39110103134401,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
173,False,"{'a': 0.02, 'e': 0.03142976201836771}",25,15,5.3657599635693956,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
174,False,"{'a': 0.02, 'e': 0.030807411032751076}",30,0,41.04363884375021,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
175,False,"{'a': 0.02, 'e': 0.0301973834223185}",25,0,39.15154574768304,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
176,False,"{'a': 0.02, 'e': 0.029599435167892}",25,11,21.734031797245198,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.02, 'e': 0.029013327082197053}",20,8,21.385578254025003,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.02, 'e': 0.028438824714184505}",20,9,20.282740945115417,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.02, 'e': 0.027875698255247015}",30,0,43.60654198524692,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
180,False,"{'a': 0.02, 'e': 0.02732372244729256}",35,1,52.48245692773456,"{0: 34, 1: 0, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.02, 'e': 0.026782676492638175}",20,12,14.027571184579188,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
182,False,"{'a': 0.02, 'e': 0.02625234396568796}",20,4,15.46104687067901,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
183,False,"{'a': 0.02, 'e': 0.02573251272635994}",30,1,42.854114925735516,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 0}",1
184,False,"{'a': 0.02, 'e': 0.025222974835227212}",25,20,8.60219082543254,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
185,False,"{'a': 0.02, 'e': 0.024723526470339388}",20,12,13.92550921046585,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
186,False,"{'a': 0.02, 'e': 0.024233967845691113}",30,13,28.501237659116306,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
187,False,"{'a': 0.02, 'e': 0.023754103131304997}",25,3,38.752287183719275,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
188,False,"{'a': 0.02, 'e': 0.023283740374897}",20,0,26.977868350316893,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
189,False,"{'a': 0.02, 'e': 0.02282269142509297}",25,0,34.35975709884547,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
190,False,"{'a': 0.02, 'e': 0.02237077185616559}",25,13,23.58580730677621,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
191,False,"{'a': 0.02, 'e': 0.02192780089426161}",20,4,28.689118226746007,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
192,False,"{'a': 0.02, 'e': 0.021493601345089923}",25,15,19.946859271791787,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
193,False,"{'a': 0.02, 'e': 0.021067999523041434}",25,5,36.447587992699525,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
194,False,"{'a': 0.02, 'e': 0.020650825181712566}",25,15,19.7134852827243,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
195,False,"{'a': 0.02, 'e': 0.02024191144580439}",20,7,22.05792307038425,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
196,False,"{'a': 0.02, 'e': 0.019841094744370288}",25,11,22.921813234015236,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
197,False,"{'a': 0.02, 'e': 0.01944821474538539}",20,12,12.255779027275329,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
198,False,"{'a': 0.02, 'e': 0.019063114291611637}",20,14,9.951871162660758,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
199,False,"{'a': 0.02, 'e': 0.018685639337732773}",20,11,15.695788630467575,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
200,False,"{'a': 0.02, 'e': 0.01831563888873418}",20,8,22.274789602727445,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
201,False,"{'a': 0.02, 'e': 0.01795296493950285}",25,14,9.371237186564365,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
202,False,"{'a': 0.02, 'e': 0.017597472415623393}",30,12,28.22443981014922,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
203,False,"{'a': 0.02, 'e': 0.017249019115346265}",20,12,15.46742593063421,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
204,False,"{'a': 0.02, 'e': 0.01690746565270528}",20,13,11.545839877586168,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
205,False,"{'a': 0.02, 'e': 0.016572675401761255}",35,15,35.16998658152025,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
